county,state2,avg_zip_match_by_county,avg_in_urban_by_county,avg_parcels_prop_by_county,prop_count,avg_area_acres
adams,WA,0.665,0.342,2.176,272715,1019.87
asotin,WA,0.843,0.869,1.816,201898,675.235
benton,WA,0.856,0.825,1.308,322934,287.793
chelan,WA,0.0,0.521,1.286,56851,8107.025
clallam,WA,0.668,0.579,1.632,1782986,982.199
clark,WA,0.854,0.834,1.316,2295776,253.443
columbia,WA,0.0,0.0,1.88,5521,926.316
cowlitz,WA,0.843,0.567,1.579,1538537,2476.316
douglas,WA,0.661,0.575,1.767,297311,374.641
ferry,WA,0.0,0.0,1.567,131215,310.269
franklin,WA,0.0,0.828,1.209,33900,362.089
garfield,WA,0.529,0.0,2.7,18701,627.168
grant,WA,0.735,0.47,2.003,892903,627.401
grays-harbor,WA,0.575,0.583,1.744,1847092,1800.132
island,WA,0.705,0.422,1.368,218458,92.675
jefferson,WA,0.627,0.364,1.677,883812,1112.585
king,WA,0.818,0.941,1.238,15058047,428.242
kitsap,WA,0.704,0.76,1.303,1129183,356.24
kittitas,WA,0.55,0.335,1.898,973601,1219.304
klickitat,WA,0.586,0.155,1.931,1083363,1895.01
lewis,WA,0.698,0.267,1.858,1708078,2240.282
lincoln,WA,0.5,0.0,2.259,206545,651.032
mason,WA,0.571,0.181,1.685,1169722,1353.826
okanogan,WA,0.405,0.089,2.146,1281390,700.46
pacific,WA,0.404,0.483,3.243,1783431,1587.745
pend-oreille,WA,0.435,0.0,1.689,278543,638.917
pierce,WA,0.85,0.885,1.387,24813437,31.256
san-juan,WA,0.528,0.111,1.558,149125,126.447
skagit,WA,0.668,0.523,1.697,2391909,1044.383
skamania,WA,0.665,0.0,1.611,988053,3337.045
snohomish,WA,0.449,0.839,1.249,10940029,635.221
spokane,WA,0.827,0.798,1.422,2150723,240.612
stevens,WA,0.587,0.064,1.861,1268281,864.653
thurston,WA,0.825,0.733,1.419,4380474,392.891
wahkiakum,WA,0.663,0.0,1.909,118325,2809.173
walla-walla,WA,0.832,0.721,1.768,448441,1217.557
whatcom,WA,0.736,0.657,1.532,1684816,2690.789
whitman,WA,0.561,0.326,2.518,305733,555.646
yakima,WA,0.779,0.6,1.629,1372709,564.613
albany,WY,0.631,0.627,1.497,122578,963.539
big-horn,WY,0.753,0.0,1.782,45740,880.082
campbell,WY,0.731,0.63,1.288,64134,423.11
carbon,WY,0.593,0.341,1.574,60647,1904.551
converse,WY,0.744,0.355,1.678,44725,2674.703
crook,WY,0.575,0.0,1.643,23359,631.742
fremont,WY,0.762,0.402,1.641,87355,2642.516
goshen,WY,0.75,0.448,1.726,76929,804.84
hot-springs,WY,0.748,0.0,3.205,61961,1931.622
johnson,WY,0.736,0.438,1.392,15523,914.543
laramie,WY,0.806,0.707,1.392,171957,451.016
lincoln,WY,0.355,0.0,1.698,106662,1439.434
natrona,WY,0.743,0.745,1.48,208833,417.026
niobrara,WY,0.38,0.0,1.86,20289,1335.894
park,WY,0.764,0.46,1.476,64831,469.812
platte,WY,0.603,0.0,1.489,23037,1780.462
sheridan,WY,0.727,0.527,1.44,63899,1001.304
sublette,WY,0.477,0.0,1.643,45869,1583.329
sweetwater,WY,0.785,0.729,1.89,295303,200428.997
teton,WY,0.342,0.31,1.449,86270,836.345
uinta,WY,0.655,0.393,1.708,88918,3786.664
washakie,WY,0.784,0.591,1.531,13945,383.881
weston,WY,0.762,0.0,2.022,28748,1670.379
